Population,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,32330,45880,14900,13220,10070,9500,8230,4020,2450,2434,998,3567,4466,4532,3836,2197,2238,4926,43,50,290036,170807,92543,60715,16998,17076,410,578,560,753,2582,2894,4245,7949,10316,12146,14180,14440,13816
Iran (Islamic Rep. of),,,,,,,,,,,,2000,1500,,,,,300,300,,,,,,,,,,130100,330000,1565000,1700060,1900060,2000000,2300000,2590000,2760000,2894000,2850000,4174401,5738855,4367323,2495038,2465309,2283741,2137059,1994991,1960934,2017375,2099434,1887727,1683992,1304812,1692219,1319356,1213037,972434,988962,1083994,1085309,923779,890149,869683,986862,983631,981952,979525
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,1200,1200,1200,1200,83200,111000,1000,,,900,88060,117600,109066,119895,116814,148510,140258,104656,129023,129056,128576,135802,50993,48269,1578229,2161064,2596825,3114803,1988787,1796331,1685377,1574349,1389687,4015955,4740388,5326009,4501770
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,600,600,540,480,420,360,300,500,121,420,400,155,431,608,3046,15568,14445,12378,13377,10242,9531,11346,13735,14344,12329,14237,13687,11871,11581,10578,11280,10152,12513
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,351,6063,4731,4921,4883,574,1548,1765,6918,14870,21880,31055,47805,54544,52975,45284,44665,44665,55402
Italy,26500,25500,24500,21500,18500,21500,21000,21000,18500,15500,14500,14300,14600,14000,15000,14000,13000,13000,14000,13000,12700,12600,12600,13000,11900,11900,11700,11700,14100,21551,22610,22881,22081,21501,22402,21515,20426,19274,13917,10840,9813,9258,50276,73092,74304,65174,66720,5640,9953,7293,8631,10211,12890,16600,21615,27803,40473,47795,60133,61331,72763,79654,90267,140629,179182,247992,354663
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,140,67,73,58,25,33,37,37,39,,,,,,,,,33,21,20,20,22,22,17,24,21
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,600,610,1260,2390,2520,4390,4900,3967,4707,5016,5601,6110,6480,6820,6397,6669,6708,6489,5794,5294,4858,4494,4237,4034,3529,2973,2711,2465,4244,4888,5026,5882,6792,7030,7581,8392,10178,12491,16913,21941,33980
Jordan,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,80,120,60,80,100,150,400,400,,,,130,640,960,270,468,585,762,1110,733,822,1026,8987,6376,4991,7945,13802,17864,519661,500657,502468,453830,453181,460559,308463,648022,673681,689339,720812,734809
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5030,15561,15577,15619,8354,15301,180957,120420,104456,34499,74171,57928,50222,12231,12080,12122,12689,11713,11273,11279,10088,8719,9244,8946
Kenya,,,,,,,,,,,,,,,,,,,,930,2600,2640,3220,2740,2450,2940,6010,6500,7210,4260,3380,4810,6760,8060,8890,9490,10480,13270,12964,14329,120223,420974,412014,328738,279188,225781,236174,243577,225582,216025,254349,236559,242366,249486,268212,393326,390689,1189249,882554,750954,921885,1038894,636056,606163,619728,548664,506896
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,2000,2220,2220,2810,2880,,,,210,,45590,44879,30000,30110,3515,4144,141787,142182,142481,140832,139335,139706,102707,102676,102726,109661,129860,132886,96206,96459,94453,94598,94780,94695,94670,94762,93562
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21242,21239,13407,16707,15276,15700,18280,17485,10956,8558,6324,4222,103100,12404,10933,21101,25561,304176,210806,192768,12269,12822,9642,2793,1291
Lao People's Dem. Rep.,,,,,,,,,,,,,,,,,,,,,,700,,,70,110,100,120,110,30310,10400,3500,3500,1200,,,80,,,,,,,,,,,2,,1,,,,,,,,,,,,0,,,,,
